perc,TupleID,FalsePositive,modifiedtupleamt,cost,label
1.0,877.0,0.0,1.0,0.0,cost1
1.0,877.0,0.0,1.0,0.0140845068,cost2
1.0,877.0,0.0,1.0,30.7808571,cost3
1.0,874.0,0.0,20.0,0.0,cost1
1.0,874.0,0.0,20.0,0.528779566,cost2
1.0,874.0,0.0,20.0,1394.93628,cost3
1.0,382.0,0.0,3.0,0.0,cost1
1.0,382.0,0.0,3.0,0.0441750064,cost2
1.0,382.0,0.0,3.0,104.00042,cost3
1.0,713.0,0.0,14.0,0.0,cost1
1.0,713.0,0.0,14.0,0.258284837,cost2
1.0,713.0,0.0,14.0,650.508545,cost3
1.0,221.0,0.0,0.0,0.0,cost1
1.0,221.0,0.0,0.0,0.0,cost2
1.0,221.0,0.0,0.0,0.0,cost3
1.0,870.0,0.0,0.0,0.0,cost1
1.0,870.0,0.0,0.0,0.0,cost2
1.0,870.0,0.0,0.0,0.0,cost3
1.0,678.0,0.0,22.0,0.0,cost1
1.0,678.0,0.0,22.0,0.771636724,cost2
1.0,678.0,0.0,22.0,5328.08691,cost3
1.0,186.0,0.0,11.0,0.0,cost1
1.0,186.0,0.0,11.0,0.18113251,cost2
1.0,186.0,0.0,11.0,381.736481,cost3
1.0,183.0,0.0,0.0,0.0,cost1
1.0,183.0,0.0,0.0,0.0,cost2
1.0,183.0,0.0,0.0,0.0,cost3
1.0,515.0,0.0,11.0,0.0,cost1
1.0,515.0,0.0,11.0,0.18113251,cost2
1.0,515.0,0.0,11.0,381.736481,cost3
1.0,513.0,0.0,21.0,0.0,cost1
1.0,513.0,0.0,21.0,0.628779531,cost2
1.0,513.0,0.0,21.0,1568.13818,cost3
1.0,578.0,0.0,2.0,0.0,cost1
1.0,578.0,0.0,2.0,0.0287903901,cost2
1.0,578.0,0.0,2.0,53.9773674,cost3
1.0,572.0,0.0,15.0,0.0,cost1
1.0,572.0,0.0,15.0,0.293999135,cost2
1.0,572.0,0.0,15.0,799.470154,cost3
1.0,969.0,0.0,22.0,0.0,cost1
1.0,969.0,0.0,22.0,0.771636724,cost2
1.0,969.0,0.0,22.0,5328.08691,cost3
1.0,476.0,0.0,14.0,0.0,cost1
1.0,476.0,0.0,14.0,0.258284837,cost2
1.0,476.0,0.0,14.0,650.508545,cost3
1.0,315.0,0.0,11.0,0.0,cost1
1.0,315.0,0.0,11.0,0.18113251,cost2
1.0,315.0,0.0,11.0,381.736481,cost3
1.0,474.0,0.0,0.0,0.0,cost1
1.0,474.0,0.0,0.0,0.0,cost2
1.0,474.0,0.0,0.0,0.0,cost3
1.0,963.0,0.0,11.0,0.0,cost1
1.0,963.0,0.0,11.0,0.18113251,cost2
1.0,963.0,0.0,11.0,381.736481,cost3
1.0,868.0,0.0,0.0,0.0,cost1
1.0,868.0,0.0,0.0,0.0,cost2
1.0,868.0,0.0,0.0,0.0,cost3
1.0,215.0,0.0,14.0,0.0,cost1
1.0,215.0,0.0,14.0,0.258284837,cost2
1.0,215.0,0.0,14.0,650.508545,cost3
1.0,865.0,0.0,12.0,0.0,cost1
1.0,865.0,0.0,12.0,0.204942033,cost2
1.0,865.0,0.0,12.0,429.628265,cost3
1.0,371.0,0.0,11.0,0.0,cost1
1.0,371.0,0.0,11.0,0.18113251,cost2
1.0,371.0,0.0,11.0,381.736481,cost3
1.0,276.0,0.0,20.0,0.0,cost1
1.0,276.0,0.0,20.0,0.528779566,cost2
1.0,276.0,0.0,20.0,1394.93628,cost3
1.0,210.0,0.0,4.0,0.0,cost1
1.0,210.0,0.0,4.0,0.0600480214,cost2
1.0,210.0,0.0,4.0,124.064423,cost3
1.0,700.0,0.0,11.0,0.0,cost1
1.0,700.0,0.0,11.0,0.18113251,cost2
1.0,700.0,0.0,11.0,381.736481,cost3
1.0,765.0,0.0,18.0,0.0,cost1
1.0,765.0,0.0,18.0,0.414400488,cost2
1.0,765.0,0.0,18.0,989.77832,cost3
1.0,113.0,0.0,18.0,0.0,cost1
1.0,113.0,0.0,18.0,0.414400488,cost2
1.0,113.0,0.0,18.0,989.77832,cost3
1.0,604.0,0.0,20.0,0.0,cost1
1.0,604.0,0.0,20.0,0.528779566,cost2
1.0,604.0,0.0,20.0,1394.93628,cost3
1.0,668.0,0.0,0.0,0.0,cost1
1.0,668.0,0.0,0.0,0.0,cost2
1.0,668.0,0.0,0.0,0.0,cost3
1.0,49.0,0.0,17.0,0.0,cost1
1.0,49.0,0.0,17.0,0.370922208,cost2
1.0,49.0,0.0,17.0,915.662354,cost3
1.0,505.0,0.0,14.0,0.0,cost1
1.0,505.0,0.0,14.0,0.258284837,cost2
1.0,505.0,0.0,14.0,650.508545,cost3
1.0,568.0,0.0,11.0,0.0,cost1
1.0,568.0,0.0,11.0,0.18113251,cost2
1.0,568.0,0.0,11.0,381.736481,cost3
1.0,45.0,0.0,21.0,0.0,cost1
1.0,45.0,0.0,21.0,0.628779531,cost2
1.0,45.0,0.0,21.0,1568.13818,cost3
1.0,660.0,0.0,2.0,0.0,cost1
1.0,660.0,0.0,2.0,0.0287903901,cost2
1.0,660.0,0.0,2.0,53.9773674,cost3
1.0,469.0,0.0,6.0,0.0,cost1
1.0,469.0,0.0,6.0,0.0933813527,cost2
1.0,469.0,0.0,6.0,197.945374,cost3
1.0,307.0,0.0,17.0,0.0,cost1
1.0,307.0,0.0,17.0,0.370922208,cost2
1.0,307.0,0.0,17.0,915.662354,cost3
1.0,859.0,0.0,18.0,0.0,cost1
1.0,859.0,0.0,18.0,0.414400488,cost2
1.0,859.0,0.0,18.0,989.77832,cost3
1.0,202.0,0.0,18.0,0.0,cost1
1.0,202.0,0.0,18.0,0.414400488,cost2
1.0,202.0,0.0,18.0,989.77832,cost3
1.0,262.0,0.0,12.0,0.0,cost1
1.0,262.0,0.0,12.0,0.204942033,cost2
1.0,262.0,0.0,12.0,429.628265,cost3
1.0,260.0,0.0,0.0,0.0,cost1
1.0,260.0,0.0,0.0,0.0,cost2
1.0,260.0,0.0,0.0,0.0,cost3
1.0,750.0,0.0,11.0,0.0,cost1
1.0,750.0,0.0,11.0,0.18113251,cost2
1.0,750.0,0.0,11.0,381.736481,cost3
1.0,39.0,0.0,53.0,0.0,cost1
1.0,39.0,0.0,53.0,13.25,cost2
1.0,39.0,0.0,53.0,137522.656,cost3
1.0,164.0,0.0,14.0,0.0,cost1
1.0,164.0,0.0,14.0,0.258284837,cost2
1.0,164.0,0.0,14.0,650.508545,cost3
1.0,162.0,0.0,53.0,0.0,cost1
1.0,162.0,0.0,53.0,13.25,cost2
1.0,162.0,0.0,53.0,137522.656,cost3
1.0,651.0,0.0,14.0,0.0,cost1
1.0,651.0,0.0,14.0,0.258284837,cost2
1.0,651.0,0.0,14.0,650.508545,cost3
1.0,160.0,0.0,1.0,0.0,cost1
1.0,160.0,0.0,1.0,0.0140845068,cost2
1.0,160.0,0.0,1.0,30.7808571,cost3
1.0,556.0,0.0,17.0,0.0,cost1
1.0,556.0,0.0,17.0,0.370922208,cost2
1.0,556.0,0.0,17.0,915.662354,cost3
1.0,946.0,0.0,11.0,0.0,cost1
1.0,946.0,0.0,11.0,0.18113251,cost2
1.0,946.0,0.0,11.0,381.736481,cost3
1.0,258.0,0.0,0.0,0.0,cost1
1.0,258.0,0.0,0.0,0.0,cost2
1.0,258.0,0.0,0.0,0.0,cost3
1.0,843.0,0.0,20.0,0.0,cost1
1.0,843.0,0.0,20.0,0.528779566,cost2
1.0,843.0,0.0,20.0,1394.93628,cost3
1.0,740.0,0.0,11.0,0.0,cost1
1.0,740.0,0.0,11.0,0.18113251,cost2
1.0,740.0,0.0,11.0,381.736481,cost3
1.0,153.0,0.0,4.0,0.0,cost1
1.0,153.0,0.0,4.0,0.0600480214,cost2
1.0,153.0,0.0,4.0,124.064423,cost3
1.0,25.0,0.0,14.0,0.0,cost1
1.0,25.0,0.0,14.0,0.258284837,cost2
1.0,25.0,0.0,14.0,650.508545,cost3
1.0,640.0,0.0,3.0,0.0,cost1
1.0,640.0,0.0,3.0,0.0441750064,cost2
1.0,640.0,0.0,3.0,104.00042,cost3
1.0,87.0,0.0,11.0,0.0,cost1
1.0,87.0,0.0,11.0,0.18113251,cost2
1.0,87.0,0.0,11.0,381.736481,cost3
1.0,939.0,0.0,14.0,0.0,cost1
1.0,939.0,0.0,14.0,0.258284837,cost2
1.0,939.0,0.0,14.0,650.508545,cost3
1.0,937.0,0.0,0.0,0.0,cost1
1.0,937.0,0.0,0.0,0.0,cost2
1.0,937.0,0.0,0.0,0.0,cost3
1.0,998.0,0.0,20.0,0.0,cost1
1.0,998.0,0.0,20.0,0.528779566,cost2
1.0,998.0,0.0,20.0,1394.93628,cost3
1.0,347.0,0.0,14.0,0.0,cost1
1.0,347.0,0.0,14.0,0.258284837,cost2
1.0,347.0,0.0,14.0,650.508545,cost3
1.0,992.0,0.0,4.0,0.0,cost1
1.0,992.0,0.0,4.0,0.0600480214,cost2
1.0,992.0,0.0,4.0,124.064423,cost3
1.0,245.0,0.0,13.0,0.0,cost1
1.0,245.0,0.0,13.0,0.231257826,cost2
1.0,245.0,0.0,13.0,600.976379,cost3
1.0,1.0,0.0,9.0,0.0,cost1
1.0,1.0,0.0,9.0,0.145418227,cost2
1.0,1.0,0.0,9.0,306.306885,cost3
1.0,730.0,0.0,1.0,0.0,cost1
1.0,730.0,0.0,1.0,0.0140845068,cost2
1.0,730.0,0.0,1.0,30.7808571,cost3
1.0,697.0,0.0,22.0,0.0,cost1
1.0,697.0,0.0,22.0,0.771636724,cost2
1.0,697.0,0.0,22.0,5328.08691,cost3
1.0,77.0,0.0,12.0,0.0,cost1
1.0,77.0,0.0,12.0,0.204942033,cost2
1.0,77.0,0.0,12.0,429.628265,cost3
1.0,10.0,0.0,7.0,0.0,cost1
1.0,10.0,0.0,7.0,0.110330507,cost2
1.0,10.0,0.0,7.0,246.259003,cost3
1.0,435.0,0.0,7.0,0.0,cost1
1.0,435.0,0.0,7.0,0.110330507,cost2
1.0,435.0,0.0,7.0,246.259003,cost3
1.0,922.0,0.0,20.0,0.0,cost1
1.0,922.0,0.0,20.0,0.528779566,cost2
1.0,922.0,0.0,20.0,1394.93628,cost3
1.0,826.0,0.0,11.0,0.0,cost1
1.0,826.0,0.0,11.0,0.18113251,cost2
1.0,826.0,0.0,11.0,381.736481,cost3
1.0,332.0,0.0,20.0,0.0,cost1
1.0,332.0,0.0,20.0,0.528779566,cost2
1.0,332.0,0.0,20.0,1394.93628,cost3
1.0,397.0,0.0,11.0,0.0,cost1
1.0,397.0,0.0,11.0,0.18113251,cost2
1.0,397.0,0.0,11.0,381.736481,cost3
1.0,884.0,0.0,22.0,0.0,cost1
1.0,884.0,0.0,22.0,0.771636724,cost2
1.0,884.0,0.0,22.0,5328.08691,cost3
1.0,295.0,0.0,15.0,0.0,cost1
1.0,295.0,0.0,15.0,0.293999135,cost2
1.0,295.0,0.0,15.0,799.470154,cost3
1.0,784.0,0.0,12.0,0.0,cost1
1.0,784.0,0.0,12.0,0.204942033,cost2
1.0,784.0,0.0,12.0,429.628265,cost3
1.0,292.0,0.0,18.0,0.0,cost1
1.0,292.0,0.0,18.0,0.414400488,cost2
1.0,292.0,0.0,18.0,989.77832,cost3
1.0,133.0,0.0,0.0,0.0,cost1
1.0,133.0,0.0,0.0,0.0,cost2
1.0,133.0,0.0,0.0,0.0,cost3
1.0,69.0,0.0,53.0,0.0,cost1
1.0,69.0,0.0,53.0,13.25,cost2
1.0,69.0,0.0,53.0,137522.656,cost3
1.0,428.0,0.0,2.0,0.0,cost1
1.0,428.0,0.0,2.0,0.0287903901,cost2
1.0,428.0,0.0,2.0,53.9773674,cost3
1.0,65.0,0.0,21.0,0.0,cost1
1.0,65.0,0.0,21.0,0.628779531,cost2
1.0,65.0,0.0,21.0,1568.13818,cost3
1.0,585.0,0.0,53.0,0.0,cost1
1.0,585.0,0.0,53.0,13.25,cost2
1.0,585.0,0.0,53.0,137522.656,cost3
1.0,818.0,0.0,11.0,0.0,cost1
1.0,818.0,0.0,11.0,0.18113251,cost2
1.0,818.0,0.0,11.0,381.736481,cost3
1.0,911.0,0.0,19.0,0.0,cost1
1.0,911.0,0.0,19.0,0.46995604,cost2
1.0,911.0,0.0,19.0,1368.01416,cost3
1.0,467.0,1.0,325.0,1.0,cost1
1.0,467.0,1.0,325.0,140.604965,cost2
1.0,467.0,1.0,325.0,3668479.0,cost3
1.0,848.0,1.0,282.0,1.0,cost1
1.0,848.0,1.0,282.0,97.6049728,cost2
1.0,848.0,1.0,282.0,1949121.88,cost3
1.0,522.0,1.0,287.0,1.0,cost1
1.0,522.0,1.0,287.0,133.104965,cost2
1.0,522.0,1.0,287.0,3987869.75,cost3
0.8,843.0,0.0,53.0,0.0,cost1
0.8,843.0,0.0,53.0,2.13091946,cost2
0.8,843.0,0.0,53.0,6326.2998,cost3
0.8,202.0,0.0,48.0,0.0,cost1
0.8,202.0,0.0,48.0,1.70216131,cost2
0.8,202.0,0.0,48.0,4663.06445,cost3
0.8,874.0,0.0,53.0,0.0,cost1
0.8,874.0,0.0,53.0,2.13091946,cost2
0.8,874.0,0.0,53.0,6326.2998,cost3
0.8,585.0,0.0,108.0,0.0,cost1
0.8,585.0,0.0,108.0,39.9318199,cost2
0.8,585.0,0.0,108.0,413315.219,cost3
0.8,295.0,0.0,40.0,0.0,cost1
0.8,295.0,0.0,40.0,1.19618595,cost2
0.8,295.0,0.0,40.0,3040.20532,cost3
0.8,262.0,0.0,33.0,0.0,cost1
0.8,262.0,0.0,33.0,0.867607117,cost2
0.8,262.0,0.0,33.0,1716.34509,cost3
0.8,428.0,0.0,6.0,0.0,cost1
0.8,428.0,0.0,6.0,0.128394172,cost2
0.8,428.0,0.0,6.0,213.743118,cost3
0.8,260.0,0.0,2.0,0.0,cost1
0.8,260.0,0.0,2.0,0.181818187,cost2
0.8,260.0,0.0,2.0,747.242249,cost3
0.8,713.0,0.0,37.0,0.0,cost1
0.8,713.0,0.0,37.0,1.03780079,cost2
0.8,713.0,0.0,37.0,2420.70044,cost3
0.8,25.0,0.0,37.0,0.0,cost1
0.8,25.0,0.0,37.0,1.03780079,cost2
0.8,25.0,0.0,37.0,2420.70044,cost3
0.8,133.0,0.0,2.0,0.0,cost1
0.8,133.0,0.0,2.0,0.181818187,cost2
0.8,133.0,0.0,2.0,747.242249,cost3
0.8,939.0,0.0,37.0,0.0,cost1
0.8,939.0,0.0,37.0,1.03780079,cost2
0.8,939.0,0.0,37.0,2420.70044,cost3
0.8,164.0,0.0,37.0,0.0,cost1
0.8,164.0,0.0,37.0,1.03780079,cost2
0.8,164.0,0.0,37.0,2420.70044,cost3
0.8,740.0,0.0,30.0,0.0,cost1
0.8,740.0,0.0,30.0,0.76443249,cost2
0.8,740.0,0.0,30.0,1521.45374,cost3
0.8,969.0,0.0,59.0,0.0,cost1
0.8,969.0,0.0,59.0,3.30115747,cost2
0.8,969.0,0.0,59.0,22113.0605,cost3
0.8,162.0,0.0,108.0,0.0,cost1
0.8,162.0,0.0,108.0,39.9318199,cost2
0.8,162.0,0.0,108.0,413315.219,cost3
0.8,998.0,0.0,53.0,0.0,cost1
0.8,998.0,0.0,53.0,2.13091946,cost2
0.8,998.0,0.0,53.0,6326.2998,cost3
0.8,678.0,0.0,58.0,0.0,cost1
0.8,678.0,0.0,58.0,3.05115747,cost2
0.8,678.0,0.0,58.0,18864.2949,cost3
0.8,963.0,0.0,28.0,0.0,cost1
0.8,963.0,0.0,28.0,0.714401245,cost2
0.8,963.0,0.0,28.0,1440.03833,cost3
0.8,992.0,0.0,10.0,0.0,cost1
